name,symbol,slug
NEAR Protocol,NEAR,near-protocol
Internet Computer,ICP,internet-computer
Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance
Render,RENDER,render
Bittensor,TAO,bittensor
The Graph,GRT,the-graph
Theta Network,THETA,theta-network
DeXe,DEXE,dexe
AIOZ Network,AIOZ,aioz-network
Turbo,TURBO,turbo
Golem,GLM,golem-network-tokens
Aethir,ATH,aethir
io.net,IO,io-net
Arkham,ARKM,arkham
OriginTrail,TRAC,origintrail
Flux,FLUX,zel
Qubic,QUBIC,qubic
Destra Network,DSYNC,destra-network
Arcblock,ABT,arcblock
Kadena,KDA,kadena
Casper,CSPR,casper
Zignaly,ZIG,zigcoin
Ozone Chain,OZO,ozone-chain
RSS3,RSS3,rss3
0x0.ai,0x0,0x0-ai-ai-smart-contract
Delysium,AGI,delysium
iExec RLC,RLC,rlc
Numeraire,NMR,numeraire
inSure DeFi,SURE,insure
Marlin,POND,marlin
Nosana,NOS,nosana
IQ,IQ,iq
Sleepless AI,AI,sleepless-ai
dKargo,DKA,dkargo
Solidus Ai Tech,AITECH,solidus-ai-tech
Phala Network,PHA,phala-network
Hooked Protocol,HOOK,hooked-protocol
Oraichain,ORAI,oraichain-token
NetMind Token,NMT,netmind-token
Phoenix,PHB,phoenix-global-new
CUDOS,CUDOS,cudos
NFPrompt,NFP,nfprompt
Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token
LimeWire,LMWR,limewire
TokenFi,TOKEN,tokenfi
Forta,FORT,forta
PlatON,LAT,platon
Dimitra,DMTR,dimitra
Streamr,DATA,streamr
DecideAI,DCD,decideai
DIA,DIA,dia
Aleph.im,ALEPH,aleph-im
Cortex,CTXC,cortex
PaLM AI,PALM,palm-ai
Victoria VR,VR,victoria-vr
Verasity,VRA,verasity
Virtuals Protocol,VIRTUAL,virtual-protocol
SelfKey,KEY,selfkey
LinqAI,LNQ,linqai
Sentinel Protocol,UPP,sentinel-protocol
Measurable Data Token,MDT,measurable-data-token
SIDUS,SIDUS,sidus
Numbers Protocol,NUM,numbers-protocol
VAIOT,VAI,vaiot
PARSIQ,PRQ,parsiq
SingularityDAO,SDAO,singularitydao
Graphlinq Chain,GLQ,graphlinq-protocol
Vectorspace AI,VXV,vectorspace-ai
Agoras: Currency of Tau,AGRS,agoras-tokens
Cere Network,CERE,cere-network
OORT,OORT,oortech
GT Protocol,GTAI,gt-protocol
AIT Protocol,AIT,ait-protocol
Botto,BOTTO,botto
iMe Lab,LIME,ime-lab
zKML,ZKML,zkml
Only1,LIKE,only1
NuNet,NTX,nunet
Zero1 Labs,DEAI,zero1-labs
Commune AI,COMAI,commune-ai
QnA3.AI,GPT,qna3ai
Apeiron,APRS,apeiron
SPECTRE AI,SPECTRE,spectre-ai
Volt Inu,VOLT,volt-inu-v2
Lumerin,LMR,lumerin
HyperGPT,HGPT,hypergpt
Ooki Protocol,OOKI,ooki-protocol
DeepBrain Chain,DBC,deepbrain-chain
Atlas Navi,NAVI,atlas-navi
GameGPT,DUEL,duel
Openfabric AI,OFN,openfabric-ai
Three Protocol Token,THREE,three-protocol-token
HotKeySwap,HOTKEY,hotkeyswap
DexCheck AI,DCK,dexcheck
Matrix AI Network,MAN,matrix-ai-network
TRVL,TRVL,trvl
Step App,FITFI,step-app
Ta-da,TADA,ta-da
Insights Network,INSTAR,insights-network
Crypto-AI-Robo.com,CAIR,crypto-ai-robo
Phantasma,SOUL,phantasma
PIBBLE,PIB,pibble
Nuco.cloud,NCDT,nuco-cloud
Big Data Protocol,BDP,big-data-protocol
Bad Idea AI,BAD,bad-idea-ai
bitsCrunch,BCUT,bitscrunch
AIPAD,AIPAD,aipad
Netvrk,NETVR,netvrk
Optimus AI,OPTI,optimus-ai
Swash,SWASH,swash
FABRK,FAB,fabrk
Omax Coin,OMAX,omax-token
Robonomics.network,XRT,robonomics-network
Covalent,CQT,covalent
imgnAI,IMGNAI,image-generation-ai
Bridge Oracle,BRG,bridge-oracle
SENATE,SENATE,senate
UnMarshal,MARSH,unmarshal
Presearch,PRE,presearch
TypeAI,TYPE,typeai
Edge Matrix Computing,EMC,edge-matrix-computing
Lossless,LSS,lossless
Cogito Finance,CGV,cogito-protocol
Mozaic,MOZ,mozaic
Lambda,LAMB,lambda
Morpheus Infrastructure Node,MIND,morpheus-labs-v2
AXIS Token,AXIS,axis-token
AIgentX,AIX,aigentx
Ispolink,ISP,ispolink
PolkaBridge,PBR,polkabridge
Mobilian Coin,MBN,mobilian-coin
ClinTex CTi,CTI,clintex-cti
Effect AI,EFX,effect-ai
Lush AI,LUSH,lush-ai
MBD Financials,MBD,mbd-financials
ROOBEE,ROOBEE,roobee
Chirpley,CHRP,chirpley
B-cube.ai,BCUBE,b-cube-ai
Dock,DOCK,dock
PureFi Protocol,UFI,purefi-protocol
DxChain Token,DX,dxchain-token
Neurahub,NEURA,neurahub
CryptoPing,PING,cryptoping
WAM,WAM,wam-app
Dotmoovs,MOOV,dotmoovs
LBRY Credits,LBC,library-credits
TrustVerse,TRV,trustverse
GNY,GNY,gny
Lithium,LITH,lithium
ApeBond,ABOND,apebond
Idena,IDNA,idena
GoCrypto Token,GOC,gocrypto-token
Uno Re,UNO,unore
TRAVA.FINANCE,TRAVA,trava-finance
XMON,XMON,xmon
ProChain,PRA,prochain
Bird.Money,BIRD,bird-money
Aimedis (new),AIMX,aimedis-new
Cirus Foundation,CIRUS,cirus-foundation
aiRight,AIRI,airight
Metaverse Face,MEFA,metaverse-face
Project Pai,PAI,project-pai
MineBee,MB,minebee
Neurashi,NEI,neurashi
Gemach,GMAC,gemach
Artisse,CATHEON,catheon-gaming
All In,ALLIN,all-in
UTU Protocol,UTU,utu-protocol
BullBear AI,AIBB,bullbear-ai
Cryptoindex.com 100,CIX100,cryptoindex-com-100
Link Machine Learning,LML,link-machine-learning
Ties.DB,TIE,tiesdb
Ojamu,OJA,ojamu
Anchor Neural World,ANW,anchor-neural-world
Arcona,ARCONA,arcona
MetamonkeyAi,MMAI,metamonkeyai
OceanEx Token,OCE,oceanex-token
Raze Network,RAZE,raze-network
Datum,DAT,datum
BitClave,CAT,bitclave
Leadcoin,LDC,leadcoin
Triall,TRL,triall
YFDAI.FINANCE,YF-DAI,yfdai-finance
AdHive,ADH,adhive
SophiaTX,SPHTX,sophiatx
Elamachain,ELAMA,elamachain
Aitra,AITRA,aitra
